index,Country,Confirmed,Confirmed_pc,Deaths,Deaths_pc,Death_rate,Recovered,Recovered_pc,Recovered_rate,Active,Active_pc,Tested,Tested_pc,Tested_rate,Population
89,Jordan,11825,1170.5953960012857,61,6.0385893578079015,0.5158562367864694,4626,457.9428585117926,39.120507399577164,7138.0,706.6139481316852,0,0,0,10101697
90,Kazakhstan,107979,5820.522280009926,1725,92.98475567487311,1.597532853610424,102937,5548.737272408355,95.3305735374471,3317.0,178.80025192669802,2964281.0,159787.21422415567,3.6426708534042485,18551428
91,Kenya,38529,732.8532009007423,711,13.523803520476207,1.8453632328895118,24908,473.7706020928571,64.64740844558644,12910.0,245.55879528740905,541415.0,10298.157641404538,7.116352520709622,52573967
92,"Korea, South",23889,466.3513968023743,415,8.101462165556756,1.7372012223198963,21666,422.95488982880164,90.69446188622379,1808.0,35.295044808015945,2308406.0,45063.7683656487,1.0348699492203712,51225321
93,Kosovo,12683,6926.815947569634,488,266.5210267613326,3.847670109595522,8788,4799.563080283998,69.28960025230624,3407.0,1860.7318405243036,0,0,0,1831000
94,Kuwait,105182,25001.206300716625,610,144.9937807175861,0.5799471392443574,96688,22982.22732790486,91.92447376927612,7884.0,1873.9851920941785,0,0,0,4207077
95,Kyrgyzstan,46669,7274.015559276548,1064,165.8392627883659,2.2798860056997152,42879,6683.291117577388,91.87897747969744,2726.0,424.88517891079454,0,0,0,6415851
96,Laos,23,3.208053721230732,0,0.0,0.0,22,3.0685731246554826,95.65217391304348,1.0,0.13948059657524922,0,0,0,7169456
97,Latvia,1824,956.6065640831996,37,19.404848065284202,2.0285087719298245,1307,685.4631465223365,71.65570175438597,480.0,251.73856949557882,324717.0,170299.56889769973,0.5617198976339397,1906740
98,Lebanon,39634,5781.167199482942,367,53.53202710325073,0.9259726497451684,17565,2562.0982454185264,44.31800978957461,21702.0,3165.5369269611647,0,0,0,6855709
99,Lesotho,1595,750.4939379381508,36,16.939048129011553,2.25705329153605,873,410.7719171285302,54.73354231974922,686.0,322.7829726806091,0,0,0,2125267
100,Liberia,1343,272.00694134169294,82,16.60801875652928,6.105733432613552,1221,247.29745002100307,90.91586001489203,40.0,8.101472564160625,0,0,0,4937374
101,Libya,34525,5094.096558102284,551,81.29897765428989,1.5959449674149169,19361,2856.677869990393,56.07820419985517,14613.0,2156.119710457601,0,0,0,6777453
102,Liechtenstein,118,3103.6296685954762,1,26.30194634402946,0.847457627118644,113,2972.119936875329,95.76271186440678,4.0,105.20778537611784,0,0,0,38020
103,Lithuania,4693,1700.5896802869659,92,33.33779045096971,1.9603665033027913,2365,856.9986349624279,50.394204133816324,2236.0,810.2532548735682,774987.0,280829.9370459311,0.6055585448530104,2759631
104,Luxembourg,8509,13819.36887921654,124,201.3869715622107,1.4572805265013515,7174,11651.210757962093,84.31072981548948,1211.0,1966.7711496922352,830958.0,1349549.3154467056,1.0239988061971845,615730
105,Madagascar,16408,608.3953365355416,230,8.528213517989673,1.4017552413456849,15301,567.3486740815652,93.25329107752316,877.0,32.51844893598671,0,0,0,26969306
106,Malawi,5773,309.89735274225876,179,9.608804112396383,3.10064091460246,4263,228.83984319075856,73.84375541313008,1331.0,71.44870543910383,0,0,0,18628749
107,Malaysia,11224,351.3012245558179,136,4.256679128616468,1.2116892373485388,9967,311.9582417273554,88.8007840342124,1121.0,35.086303699846034,1549750.0,48505.79764392185,0.7242458461042103,31949789
108,Maldives,10291,19381.983851799676,34,64.03531736091622,0.33038577397726165,9108,17153.931485977206,88.50451851132057,1149.0,2164.0170484615514,153822.0,289707.07609090756,6.690200361456748,530957
109,Mali,3118,158.6120842365481,131,6.663945809810071,4.2014111610006415,2453,124.78365703407712,78.6722257857601,534.0,27.1644813926609,0,0,0,19658023
110,Malta,3058,6944.0502115233085,35,79.4773569010189,1.144538914323087,2562,5817.742525154583,83.78024852844996,461.0,1046.830329467706,0,0,0,440377
111,Mauritania,7502,1657.6448538987797,161,35.574622964236674,2.146094374833378,7120,1573.2379845053736,94.90802452679286,221.0,48.8322464291696,0,0,0,4525698
112,Mauritius,381,300.0779730166106,10,7.8760622839005405,2.6246719160104988,344,270.9365425661786,90.28871391076116,27.0,21.26536816653146,0,0,0,1269670
113,Moldova,53042,13118.628591101533,1320,326.4693967092874,2.488593944421402,38997,9644.944745054607,73.52098337166774,12725.0,3147.214449337638,0,0,0,4043258
114,Monaco,218,5594.477378294454,2,51.325480534811504,0.9174311926605505,181,4644.955988400441,83.02752293577981,35.0,898.1959093592013,0,0,0,38967
115,Mongolia,313,97.04926816170082,0,0.0,0.0,307,95.18889880396853,98.08306709265176,6.0,1.860369357732284,0,0,0,3225166
116,Montenegro,10772,17153.194010076626,169,269.11342254947544,1.5688822874118085,7192,11452.448135951643,66.76568882287411,3411.0,5431.632451575508,0,0,0,627988
117,Morocco,123653,3390.375996599671,2194,60.15612186149691,1.7743200731078097,102715,2816.288084322541,83.06713140805319,18744.0,513.9317904156327,2621314.0,71872.4176942789,4.717214343645973,36471766
118,Mozambique,8728,287.426320248575,61,2.0088228156694634,0.6989000916590284,5232,172.2977208456169,59.94500458295142,3435.0,113.11977658728863,0,0,0,30366043
119,Namibia,11265,4515.89160898031,121,48.50624808580715,1.0741233910341768,9014,3613.5150433509557,80.01775410563693,2130.0,853.8703175435473,0,0,0,2494524
120,Nepal,77817,2720.0452729177105,498,17.40728306042407,0.6399629900921393,56428,1972.4059609108624,72.51371808216713,20891.0,730.2320289464242,1021503.0,35706.00776721359,7.617892458465613,28608715
121,Aruba,3963,37277.77255197065,27,253.974226319255,0.6813020439061317,3259,30655.629762016742,82.23568004037345,677.0,6368.168563634653,0,0,0,106310
122,"Bonaire, Sint Eustatius and Saba",121,4656.891044144249,1,38.48670284416734,0.8264462809917356,32,1231.5744910133549,26.446280991735538,88.0,3386.829850286726,0,0,0,25983
123,Curacao,392,2398.683171891349,1,6.119089724212626,0.25510204081632654,171,1046.364342840359,43.62244897959184,220.0,1346.1997393267777,0,0,0,163423
124,Sint Maarten,667,15735.21432447097,22,519.0025714218311,3.2983508245877062,557,13140.201467361814,83.50824587706147,88.0,2076.0102856873245,0,0,0,42389
125,New Zealand,1848,386.3633797763859,25,5.226777323814744,1.3528138528138527,1770,370.0558345260839,95.77922077922078,53.0,11.080767926487258,966238.0,202012.43471232444,0.19125722648043236,4783062
126,Nicaragua,5170,789.8552639881152,151,23.06927366773799,2.920696324951644,2913,445.0383721464951,56.34429400386847,2106.0,321.74761817388213,0,0,0,6545503
127,Niger,1197,51.34976746105515,69,2.9600116581560614,5.764411027568922,1114,47.789173727331196,93.06599832915622,14.0,0.6005820755678964,0,0,0,23310719
128,Nigeria,58848,292.82914478797437,1112,5.533340283513925,1.8896139206090266,50358,250.5826888463977,85.57300163132136,7378.0,36.71311565806272,509555.0,2535.5586404369947,11.548900511230386,200963603
129,North Macedonia,17977,8628.443673930553,739,354.6987748253145,4.11080825499249,14959,7179.890355361136,83.21188184902931,2279.0,1093.8545437441026,0,0,0,2083458
130,Norway,14027,2607.8021379627166,274,50.940171512211045,1.953375632708348,11190,2080.3668584731445,79.77472018250516,2563.0,476.495107977361,1021793.0,189964.63748166664,1.372782941358964,5378859
131,Oman,98585,19816.1122671152,935,187.94000070753881,0.9484201450524927,88528,17794.601478756147,89.79865091038191,9122.0,1833.5707876515178,0,0,0,4974992
132,Panama,112595,26515.151515151516,2372,558.5855445973568,2.10666548248146,89061,20973.097465170827,79.0985390115014,21162.0,4983.468505383333,478695.0,112728.54438070478,23.521240038020032,4246440
133,Papua New Guinea,534,60.84694156950242,7,0.7976190842444137,1.3108614232209739,516,58.79592106715965,96.62921348314607,11.0,1.2534014180983646,0,0,0,8776119
